horaire,team_home,team_away,score,cote1,coteN,cote2
13:30,Liverpool,Manchester Utd,0 : 0,2.50,3.10,2.60
16:00,Burnley,West Ham ,1 : 1,2.80,2.95,2.40
16:00,Crystal Palace,Chelsea,2 : 1,6.75,4.00,1.40
16:00,Manchester City,Stoke,7 : 2,1.10,7.50,15.00
16:00,Swansea,Huddersfield,2 : 0,1.95,3.00,3.80
16:00,Tottenham,Bournemouth,1 : 0,1.19,5.75,10.50
18:30,Watford,Arsenal,1 : 1,4.30,3.80,1.62
16:55,Al-Ettifaq,Al Batin,1 : 3,-,-,-
19:00,Al Shabab,Al Ahli SC,1 : 3,-,-,-
19:00,Al-Faysaly,Al Feiha,1 : 0,-,-,-
17:00,Gandzasar,Banants,2 : 0,2.05,2.80,2.95
12:30,Brothers U. ,Mohammedan,3 : 4,-,-,-
14:45,Muktijoddha Sangsad,BJMC,0 : 3,-,-,-
15:30,Krupa,Siroki Brijeg,1 : 2,2.10,2.95,2.75
15:30,Radnik Bijeljina,NK Vitez,2 : 0,1.38,3.50,6.00
17:00,Zrinjski,Borac Banja Luka,0 : 0,1.38,3.90,5.00
18:00,Sloboda ,Sarajevo,1 : 3,3.00,3.00,1.95
08:30,Southern District,Yuen Long,3 : 0,-,-,-
11:30,Kitchee,Tai Po,2 : 1,-,-,-
16:00,Al Hussein,Shabab Al Ordon,0 : 0,-,-,-
18:30,Al Ahli ,Al Yarmouk,2 : 1,-,-,-
18:30,Al-Faisaly Amman,That Ras,1 : 1,-,-,-
14:00,Bandari,Sofapaka,1 : 2,-,-,-
14:00,Kariobangi Sharks,Chemelil,2 : 2,-,-,-
14:00,Leopards,Rangers,0 : 2,-,-,-
14:00,Mathare Utd.,Gor Mahia,1 : 0,-,-,-
14:00,Zoo Kericho,Ulinzi Stars,0 : 0,-,-,-
16:50,Al Qadisiya,Al Naser,1 : 1,-,-,-
19:20,Al Salmiya,Kazma SC,0 : 0,-,-,-
15:00,BUL,Kampala City,1 : 3,-,-,-
15:00,Onduparaka FC,Soana,-,-,-,-
15:00,Police,Vipers,2 : 1,-,-,-
15:00,Villa,UPDF,2 : 0,-,-,-
15:30,Bangor City,Cardiff Metropolitan,2 : 3,1.65,3.25,3.75
15:30,Barry,Druids,1 : 3,1.80,3.10,3.30
15:30,Carmarthen,Connah's Q.,1 : 2,3.50,3.20,1.72
15:30,Llandudno,Aberystwyth,2 : 3,1.70,3.20,3.60
15:30,TNS,Prestatyn,6 : 1,1.11,5.75,9.75
16:30,Al-Gharafa,Al Khor ,3 : 0,-,-,-
18:40,Al Sailiya,Al-Kharitiyath ,2 : 1,-,-,-
18:40,Umm-Salal,Al Arabi,4 : 0,-,-,-
13:00,Din. Moscou,SKA Khabarovsk,2 : 0,1.32,3.60,7.50
15:30,Ural,Anzhi,2 : 1,1.82,2.95,3.50
18:00,Krasnodar,CSKA Moscou,0 : 1,2.00,2.90,3.05
16:00,Stal Kamianske,Zorya,0 : 1,6.50,3.60,1.30
16:00,Veres Rivne,Mariupol ,1 : 1,1.95,2.75,3.05
